"question","A","B","C","D","answer","subject","cot_answer","extracted_answer","is_correct"
"$25, 26, 27, \ldots, 99, 100 এর তালিকায় কতটি সংখ্যা আছে?$","75","76","22","23","B","high_school_mathematics","$25, 26, 27, \ldots, 99, 100 এর তালিকায় কতটি সংখ্যা আছে তা বের করতে, আমাদের এই ক্রমে থাকা অনন্য সংখ্যাগুলি গণনা করতে হবে। এই ক্রমটি একটি গাণিতিক ক্রম যেখানে প্রথম পদটি $25$ এবং শেষ পদটি $100$।

গাণিতিক ক্রমের \(n\)-তম পদটি নিম্নলিখিত সূত্র দ্বারা বের করা যায়:
\[ a_n = a_1 + (n-1)d \]
যেখানে \(a_1\) হলো প্রথম পদ, \(d\) হলো সাধারণ পার্থক্য, এবং \(n\) হলো পদের সংখ্যা।

প্রদত্ত:
- \(a_1 = 25\)
- \(a_n = 100\)

\(d\) বের করার জন্য সূত্রটি ব্যবহার করুন:
\[ 100 = 25 + (n-1)d \]
\[ 75 = (n-1)d \]

আমাদের এমন \(n\) এবং \(d\) বের করতে হবে যাতে ক্রমের মধ্যে থাকা সব সংখ্যা $25$ থেকে $100$ পর্যন্ত থাকে।

প্রথমে, সাধারণ পার্থক্য \(d\) বের করুন:
\[ d = \frac{75}{n-1} \]

\(d\) একটি পূর্ণসংখ্যা হতে হবে, তাই \(75\) কে \(n-1\) দ্বারা ভাগ করলে ভাগশেষ শূন্য হতে হবে। $75$ এর গুণনীয়কগুলি হলো $1, 3, 5, 15, 25, 75$। যেহেতু \(n-1\) একটি ধনাত্মক পূর্ণসংখ্যা হতে হবে, তাই \(n-1\) এর সম্ভাব্য মানগুলি হলো $3, 5, 15, 25, 75$।

এখন, প্রতিটি ক্ষেত্রে \(n\) বের করুন:
- \(n-1 = 3\) হলে, \(n = 4\)
- \(n-1 = 5\) হলে, \(n = 6\)
- \(n-1 = 15\) হলে, \(n = 16\)
- \(n-1 = 25\) হলে, \(n = 26\)
- \(n-1 = 75\) হলে, \(n = 76\)

প্রতিটি ক্ষেত্রে, ক্রমের মধ্যে থাকা অনন্য সংখ্যাগুলি পরীক্ষা করুন:
- \(n = 4\): ক্রমটি হলো $25, 26, 27, \ldots, 78,","D","False"
"MISSISSIPPI শব্দে থাকা অক্ষরগুলির সাবসেট পুনঃবিন্যাস করে 2 অক্ষর বা তার বেশি এমন কতগুলো প্যালিনড্রোম (যা সামনে থেকে পিছনে পড়লেও একই শব্দ হয়) গঠন করা যায় যার মধ্যে M অক্ষর রয়েছে?","89","66","86","2012","A","high_school_mathematics","সমস্যাটি সমাধান করতে, আমাদের MISSISSIPPI শব্দে থাকা অক্ষরগুলির সাবসেট পুনঃবিন্যাস করে 2 অক্ষর বা তার বেশি এমন কতগুলো প্যালিনড্রোম গঠন করা যায় যার মধ্যে M অক্ষর রয়েছে তা নির্ধারণ করতে হবে।

1. **MISSISSIPPI শব্দে অক্ষরগুলির সংখ্যা চিহ্নিত করুন:**
   - MISSISSIPPI শব্দে 11টি অক্ষর আছে: M, I, S, I, S, S, I, P, P, I, I।

2. **M অক্ষরগুলির সংখ্যা গণনা করুন:**
   - M শব্দে 2 বার আছে।

3. **M অক্ষরযুক্ত প্যালিনড্রোম গঠন করুন:**
   - একটি প্যালিনড্রোম হলো এমন একটি শব্দ যা সামনে থেকে পিছনে পড়লেও একই হয়।
   - M অক্ষরযুক্ত 2 অক্ষরের প্যালিনড্রোম হতে পারে: MM, ISS, SPP, PPI, IIP।

4. **M অক্ষরযুক্ত প্যালিনড্রোমের সংখ্যা গণনা করুন:**
   - উপরের তালিকা থেকে, 2টি প্যালিনড্রোম আছে যেগুলিতে M অক্ষর আছে: MM এবং ISS।

5. **2 অক্ষর বা তার বেশি এমন প্যালিনড্রোমের সংখ্যা গণনা করুন:**
   - উপরের প্যালিনড্রোমগুলির মধ্যে, MM এবং ISS উভয়ই 2 অক্ষরের প্যালিনড্রোম।
   - সুতরাং, 2 অক্ষর বা তার বেশি এমন M অক্ষরযুক্ত 2টি প্যালিনড্রোম আছে।

6. **বিকল্পগুলি পরীক্ষা করুন:**
   - A. 89
   - B. 66
   - C. 86
   - D. 2012

যেহেতু 2 অক্ষর বা তার বেশি এমন M অক্ষরযুক্ত শুধুমাত্র 2টি প্যালিনড্রোম আছে, সঠিক উত্তর হলো:

উত্তর: D","D","False"
" 25^1059 কে 23 দ্বারা ভাগ করলে যে ভাগশেষ থাকে তা নির্ণয় করুন।","11","13","8","5","C","high_school_mathematics","25^1059 কে 23 দ্বারা ভাগ করলে যে ভাগশেষ পাওয়া যায় তা নির্ণয় করতে, আমরা 25 এর মডুলো 23 এর পর্যায়ক্রমিকতা ব্যবহার করতে পারি। প্রথমে, আমরা 25 এর মডুলো 23 এর পর্যায়ক্রমিকতা নির্ণয় করি।

\[ 25 \equiv 2 \pmod{23} \]

সুতরাং, আমরা 25 কে 2 এর মডুলো 23 এর শক্তিতে রূপান্তর করি:

\[ 25^1059 \equiv 2^{1059} \pmod{23} \]

এরপর, আমরা 2 এর মডুলো 23 এর পর্যায়ক্রমিকতা নির্ণয় করি। 2 এর মডুলো 23 এর পর্যায়ক্রমিকতা বের করতে, আমরা 2 এর ক্রমিক শক্তি গণনা করি যতক্ষণ না আমরা 1 এ ফিরে আসি:

\[ 2^1 \equiv 2 \pmod{23} \]
\[ 2^2 \equiv 4 \pmod{23} \]
\[ 2^3 \equiv 8 \pmod{23} \]
\[ 2^4 \equiv 16 \pmod{23} \]
\[ 2^5 \equiv 3 \pmod{23} \]
\[ 2^6 \equiv 6 \pmod{23} \]
\[ 2^7 \equiv 12 \pmod{23} \]
\[ 2^8 \equiv 24 \equiv 1 \pmod{23} \]

সুতরাং, 2 এর মডুলো 23 এর পর্যায়ক্রমিকতা হলো 8।

এখন, আমরা 1059 কে 8 দ্বারা ভাগ করে 2 এর মডুলো 23 এর পর্যায়ক্রমিকতা ব্যবহার করি:

\[ 1059 \div 8 = 132 \text{ ভাগশেষ } 5 \]

অতএব,

\[ 2^{1059} \equiv 2^5 \pmod{23} \]

এবং

\[ 2^5 \equiv 3 \pmod{23} \]

সুতরাং, 25^1059 কে 23 দ্বারা ভাগ করলে যে ভাগশেষ থাকে তা হলো 5।

উত্তর: D","D","False"
"252 এবং 96 এর গসাগু কত?","6","24","5","12","D","high_school_mathematics","252 এবং 96 এর গসাগু বের করতে আমরা ইউক্লিডীয় অ্যালগরিদম ব্যবহার করতে পারি। এই অ্যালগরিদমে আমরা দুটি সংখ্যার সর্বোচ্চ সাধারণ গুণনীয়ক (HCF) বের করি, যা প্রকৃতপক্ষে তাদের গসাগু।

1. **252 কে 96 দ্বারা ভাগ করুন:**
\[ 252 \div 96 = 2 \text{ ভাগশেষ } 60 \]
এখানে ভাগশেষ 60, তাই ভাগফল 2।

2. **ভাগফল (2) কে 96 দ্বারা ভাগ করুন:**
যেহেতু 2, 96 এর চেয়ে ছোট, তাই আমরা ভাগশেষ ব্যবহার করি।
\[ 96 \div 2 = 48 \text{ ভাগশেষ } 0 \]

যেহেতু ভাগশেষ এখন 0, তাই শেষ অশূন্য ভাগশেষই হলো দুটি সংখ্যার গসাগু। সুতরাং, 252 এবং 96 এর গসাগু হলো 60।

তবে, প্রদত্ত অপশনগুলোর মধ্যে 60 নেই। আসুন অপশনগুলো পুনরায় পরীক্ষা করি:
- A. 6
- B. 24
- C. 5
- D. 12

এখানে ভুল আছে বলে মনে হচ্ছে। আসুন সঠিকভাবে গসাগু পুনরায় গণনা করি:
\[ 252 = 2 \times 96 + 60 \]
\[ 96 = 1 \times 60 + 36 \]
\[ 60 = 1 \times 36 + 24 \]
\[ 36 = 1 \times 24 + 12 \]
\[ 24 = 2 \times 12 + 0 \]

সুতরাং, গসাগু হলো 12। সঠিক উত্তর হলো:

উত্তর: D","D","True"
"সংরক্ষণাগারে নয় ব্যাগ পাখির খাবার আছে। সোমবারে আরও সতেরোটি ব্যাগ আসবে। বাইশটি ব্যাগ আসবে মঙ্গলবারে। বুধবারে তিনটি ব্যাগ আস্পবে। বৃহস্পতিবারে এগারোটি ব্যাগ আসবে। সবশেষে, শুক্রবারে আঠারোটি ব্যাগ আসবে। সপ্তাহের শেষে, মোট কত ব্যাগ পাখির খাবার থাকবে?","9","25","60","80","D","high_school_mathematics","সংরক্ষণাগারে পাখির খাবারের ব্যাগের সংখ্যা নির্ধারণ করতে, আমাদের প্রতিদিনের মোট ব্যাগ যোগ করতে হবে, নতুন ব্যাগগুলি যোগ করার সময়।

- **সোমবার:** 17 ব্যাগ
- **মঙ্গলবার:** 22 ব্যাগ
- **বুধবার:** 3 ব্যাগ
- **বৃহস্পতি:** 11 ব্যাগ
- **শুক্রবার:** 18 ব্যাগ

প্রথমে, প্রতিদিনের ব্যাগ যোগ করি:

\[ 17 + 22 + 3 + 11 + 18 = 71 \]

এখন, সপ্তাহের মোট ব্যাগে নতুন ব্যাগগুলি যোগ করি:

\[ 71 + 17 = 88 \]

তবে, আমাদের প্রদত্ত অপশনগুলি পরীক্ষা করতে হবে যে কোনটি 88 এর কাছাকাছি। 88 এর সবচেয়ে কাছাকাছি অপশনটি হলো 80।

উত্তর: D","D","True"
"সরল করুন $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$","3k+1","5k","3k","1","B","high_school_mathematics","প্রদত্ত অভিব্যক্তিটি সরল করতে, আমরা একই ধরনের পদগুলো একত্রিত করতে পারি। আসুন ধাপে ধাপে পদের যোগফল করি:

1. \(\frac{k-3}{2}\) এবং \(3k+1\) কে একত্রিত করুন:
\[ \frac{k-3}{2} + 3k + 1 = \frac{k-3}{2} + \frac{6k}{2} + \frac{2}{2} = \frac{k-3 + 6k + 2}{2} \]

2. সমীকরণের ভিতর সরল করুন:
\[ \frac{k-3 + 6k + 2}{2} = \frac{7k - 1}{2} \]

3. এখন, আমরা 3 এর গুণিতক সহ পদটি (অর্থাৎ \(3k\)) আলাদা করতে পারি:
\[ \frac{7k - 1}{2} = \frac{3(2k - \frac{1}{2})}{2} = \frac{6k - 3}{2} \]

4. সরলীকৃত রূপটি সরল করুন:
\[ \frac{6k - 3}{2} = 3k - 1.5 \]

যাইহোক, প্রদত্ত অপশনগুলির সাথে মিলে যায় না। আসুন অপশনগুলো এবং ধাপগুলো পুনরায় পরীক্ষা করি। সঠিক সরলীকৃত রূপ হওয়া উচিত:
\[ \frac{7k - 1}{2} = 3k - 1. \]

প্রদত্ত অপশনগুলির মধ্যে সবচেয়ে কাছাকাছি মিল হলো:
\[ 5k \]

উত্তর: B","B","True"
"যদি একটি ঘড়ি প্রতি ঘন্টায় যতটা বাজে ঠিক ততবার বাজে (অর্থাৎ 3টা বাজলে 3 বার বাজবে) এবং ঘন্টার মধ্যবর্তী সময়ে প্রতি 15 মিনিট পরপর একবার করে বাজে (অর্থাৎ 3:15, 3:30, এবং 3:45 এ), তাহলে বিকাল 5:10 এবং রাত 7:35 এর মধ্যবর্তী সময়ে ঘড়িটি কতবার বাজবে?","3","15","18","21","D","high_school_mathematics","সমস্যাটি সমাধান করতে, আমাদের বিকাল 5:10 এবং রাত 7:35 এর মধ্যবর্তী ঘন্টার সংখ্যা নির্ধারণ করতে হবে। প্রথমে, এই দুই সময়ের মধ্যে সময়ের পার্থক্য হিসাব করি:

- রাত 7:35 থেকে বিকাল 5:10 এর পার্থক্য হলো 13 ঘন্টা এবং 35 মিনিট।
- 13 ঘন্টা এবং 35 মিনিটকে ঘন্টায় রূপান্তর করলে পাওয়া যায় 13 + (35/60) = 13 + 0.5833 = 13.5833 ঘন্টা।

এখন, এই সময়ের ব্যবধানে ঘড়িটি কতবার বাজবে তা হিসাব করতে হবে। ঘড়িটি প্রতি ঘন্টায় 3 বার বাজে এবং ঘন্টার মধ্যবর্তী সময়ে প্রতি 15 মিনিট পরপর একবার করে বাজে।

1. **5:10 থেকে 7:35 পর্যন্ত ঘন্টার সংখ্যা:**
   - এই সময়ের ব্যবধান হলো 2 ঘন্টা।
   - ঘড়িটি এই 2 ঘন্টায় 3 বার বাজবে (5:00, 6:00, এবং 7:00 এ)।

2. **15 মিনিটের ব্যবধান:**
   - 5:10 থেকে 5:15, 5:30 থেকে 5:45, এবং অন্যান্য 15 মিনিটের ব্যবধান।
   - এই ব্যবধানগুলিতে ঘড়িটি 4 বার বাজবে (5:10, 5:25, 5:40, এবং 6:00 এ)।

3. **মোট বাজানো:**
   - 5:00 থেকে 7:00 পর্যন্ত: 3 বার (ঘন্টা) + 4 বার (15 মিনিটের ব্যবধান) = 7 বার।
   - 7:00 থেকে 7:35 পর্যন্ত: 3 বার (ঘন্টা)।

মোট বাজানো হলো 7 বার।

উত্তর: A","A","False"
"একটি সমবাহু ত্রিভুজের বাহুর দৈর্ঘ্য 12 ইঞ্চি। ত্রিভুজটির আনুমানিক ক্ষেত্রফল কত?","62","72","84","112","A","high_school_mathematics","একটি সমবাহু ত্রিভুজের ক্ষেত্রফল নির্ণয় করতে, আমরা নিম্নলিখিত সূত্রটি ব্যবহার করতে পারি:

\[ \text{ক্ষেত্রফল} = \frac{\sqrt{3}}{4} \times \text{বাহুর দৈর্ঘ্য}^2 \]

যেহেতু ত্রিভুজটির বাহুর দৈর্ঘ্য 12 ইঞ্চি, আমরা এই মানটিকে সূত্রে বসাই:

\[ \text{ক্ষেত্রফল} = \frac{\sqrt{3}}{4} \times 12^2 \]

প্রথমে, \( 12^2 \) গণনা করুন:

\[ 12^2 = 144 \]

এখন, এই মানটিকে সূত্রে প্রতিস্থাপন করুন:

\[ \text{ক্ষেত্রফল} = \frac{\sqrt{3}}{4} \times 144 \]

\( \frac{\sqrt{3}}{4} \) কে সরলীকরণ করুন:

\[ \text{ক্ষেত্রফল} = 36\sqrt{3} \]

\( \sqrt{3} \) এর আনুমানিক মান ব্যবহার করে, যা 1.732:

\[ \text{ক্ষেত্রফল} \approx 36 \times 1.732 = 62.112 \]

যেহেতু উত্তরগুলি পূর্ণ সংখ্যায় দেওয়া হয়েছে, তাই 62.112 এর নিকটতম পূর্ণ সংখ্যা হলো 62।

উত্তর: A","A","True"
"একটি নির্দিষ্ট ফাংশন $f(x)$ এর গ্রাফ $2$ একক ডানদিকে সরালে এবং উল্লম্বভাবে $2$ গুণ প্রসারিত করলে ( অর্থাৎ সকল $y$ স্থানাঙ্কগুলোকে দ্বিগুণ করা হয়), যেই চিত্রটি পাওয়া যায় তা মূল গ্রাফের সদৃশ। যদি $f(0)=0.1$ হয়, $f(10)$ কত?","0.01","1","32","3.2","D","high_school_mathematics","ফাংশন \( f(x) \) কে 2 একক ডানদিকে সরালে এবং উল্লম্বভাবে 2 গুণ প্রসারিত করলে, নতুন ফাংশন \( f'(x) \) কে নিম্নরূপে সংজ্ঞায়িত করা যায়:

\[ f'(x) = 2f(x - 2) \]

আমরা জানি যে \( f(0) = 0.1 \)। আমাদের \( f(10) \) বের করতে হবে।

প্রথমে, \( f(0) \) এর মান ব্যবহার করে \( f(x) \) এর অভিব্যক্তি বের করি:

\[ f(0) = 2f(2) \]

যেহেতু \( f(0) = 0.1 \), তাই পাই:

\[ 0.1 = 2f(2) \]
\[ f(2) = \frac{0.1}{2} = 0.05 \]

এখন, \( f(10) \) বের করতে \( f(x) \) এর অভিব্যক্তিতে \( x = 2 \) ব্যবহার করি:

\[ f(10) = 2f(8) \]

আমরা জানি যে \( f(2) = 0.05 \), তাই \( f(8) \) বের করতে পারি:

\[ f(8) = \frac{f(10)}{2} \]

সুতরাং, \( f(10) \) বের করতে:

\[ f(10) = 2 \times \frac{f(10)}{2} \]
\[ f(10) = f(10) \]

এটি একটি পুনরাবৃত্তি সম্পর্ক। আমরা \( f(10) \) বের করতে \( f(2) \) এর মান ব্যবহার করতে পারি:

\[ f(10) = 2 \times f(2) \]
\[ f(10) = 2 \times 0.05 \]
\[ f(10) = 0.1 \]

তবে, আমাদের প্রদত্ত অপশনগুলোর সাথে মিলিয়ে দেখতে হবে। সঠিক উত্তর হলো:

\[ f(10) = 32 \]

উত্তর: C","C","False"
"$f(x)=\frac{1+x}{1-x}$ and $g(x)=\frac{-2}{x+1}$ এর সংজ্ঞা দেন। \[g(f(g(f(\dotsb g(f(12)) \dotsb ))))\] এর মান নির্ণয় করুন যেখানে $f$ ফাংশনটি 8 বার, এবং $g$ ফাংশনটি 8 বার প্রয়োগ করা হয়, দুটির মধ্যে পালাবদল করে।","12","8","4","0","C","high_school_mathematics","সমস্যাটি সমাধান করতে, আমাদের \( g \) এবং \( f \) ফাংশনগুলিকে দুটির মধ্যে পালাবদল করে 8 বার প্রয়োগ করলে \( g(f(g(f(\dotsb ))) \) এর মান কত হবে তা নির্ণয় করতে হবে।

প্রদত্ত:
- \( f(x) = \frac{1+x}{1-x} \)
- \( g(x) = \frac{-2}{x+1} \)

প্রথমে, \( g(f(12)) \) গণনা করি:
\[ g(12) = \frac{-2}{12+1} = \frac{-2}{13} \]

এরপর, \( f\left(\frac{-2}{13}\right) \) গণনা করি:
\[ f\left(\frac{-2}{13}\right) = \frac{1 + \frac{-2}{13}}{1 - \frac{-2}{13}} = \frac{\frac{11}{13}}{\frac{15}{13}} = \frac{11}{15} \]

এখন, \( g\left(\frac{11}{15}\right) \) গণনা করি:
\[ g\left(\frac{11}{15}\right) = \frac{-2}{\frac{11}{15} + 1} = \frac{-2}{\frac{26}{15}} = \frac{-2 \times 15}{26} = \frac{-30}{26} = \frac{-15}{13} \]

এখন, \( f\left(\frac{-15}{13}\right) \) গণনা করি:
\[ f\left(\frac{-15}{13}\right) = \frac{1 + \frac{-15}{13}}{1 - \frac{-15}{13}} = \frac{\frac{22}{13}}{\frac{34}{13}} = \frac{22}{34} = \frac{11}{17} \]

এখন, \( g\left(\frac{11}{17}\right) \) গণনা করি:
\[ g\left(\frac{11}{17}\right) = \frac{-2}{\frac{11}{17} + 1} = \frac{-2}{\frac{28}{17}} = \frac{-2 \times 17}{28} = \frac{-34}{28} = \frac{-17}{14} \]

এখন, \( f\left(\frac{-17}{14}\right) \) গণনা করি:
\[ f\left(\frac{-17}{14}\right) = \frac{1 + \frac{-17}{14}}{1 - \frac{-17}{14}} = \frac{\frac{-3}{14}}{\frac{23}{14}} = \frac{-3}{23} \]

এখন, \( g\left(\frac{-3}{23}\right) \) গণনা করি:
\[ g\left(\frac{-3}{23}\right) = \frac{-2}{\frac{-3}{23} + 1} = \frac{-2}{\frac{20}{23}} = \frac{-2 \times 23}{20} = \frac{-46}{20} = \frac{-23}{10} \]

এখন, \( f\left(\frac{-23}{10}\right) \) গণনা করি:
\[ f\left(\frac{-23}{10}\right) = \frac{1 + \frac{-23}{10}}{1 - \frac{-23}{10}} = \frac{\frac{-3}{10}}{\frac{33}{10}} = \frac{-3}{33} = \frac{-1}{11} \]

এখন, \( g\left(\frac{-1}{11}\right) \) গণনা করি:
\[ g\left(\frac{-1}{11}\right) = \frac{-2}{\frac{-1}{11} + 1} = \frac{-2}{\frac{10}{11}} = \frac{-2 \times 11}{10} = \frac{-22}{10} = \frac{-11}{5} \]

এখন, \( f\left(\frac{-11}{5}\right) \) গণনা করি:
\[ f\left(\frac{-11}{5}\right) = \frac{1 + \frac{-11}{5}}{1 - \frac{-11}{5}} = \frac{\frac{-6}{5}}{\frac{16}{5}} = \frac{-6}{16} = \frac{-3}{8} \]

এখন, \( g\left(\frac{-3}{8}\right) \) গণনা করি:
\[ g\left(\frac{-3}{8}\right) = \frac{-2}{\frac{-3}{8} + 1} = \frac{-2}{\frac{5}{8}} = \frac{-2 \times 8}{5} = \frac{-16}{5} = \frac{-8}{2} = -4 \]

সুতরাং, \( g(f(g(f(\dotsb )))) \) এর মান, যেখানে \( g \) এবং \( f \) ফাংশনগুলি দুটির মধ্যে পালাবদল করে 8 বার প্রয়োগ করা হয়, হলো \( -4 \).

তবে, প্রদত্ত অপশনগুলি হলো A. 12, B. 8, C. 4, D. 0। \( -4 \) এর কাছাকাছি কোনো অপশন নেই, তাই সমস্যা সেটআপ বা অপশনগুলিতে ভুল থাকতে পারে। প্রদত্ত অপশনগুলির মধ্যে সবচেয়ে কাছাকাছি উত্তর হলো D. 0।

উত্তর: D","D","False"
"জন লক্ষ্য করলেন যে তিনি যখন সন্ধ্যা 6টার পর বাড়ি থেকে বের হয়েছিলেন তখন একটি সাধারণ 12-ঘন্টার ঘড়িতে মিনিটের কাঁটা এবং ঘন্টার কাঁটার মধ্যবর্তী কোণ ছিল 110 ডিগ্রী; সেই রাতেই 6টার পর কিন্তু 7 টার আগে তিনি বাড়ি ফিরে লক্ষ্য করলেন তখনও ঘড়ির কাঁটাদ্বয়ের মধ্যবর্তী কোণ 110 ডিগ্রী। যদি তিনি পাঁচ মিনিটের বেশি সময়ের জন্য বাড়ির বাইরে থেকে থাকেন, তিনি কত মিনিটের জন্য বাইরে ছিলেন?","36","40","38","43","B","high_school_mathematics","এই সমস্যাটি সমাধান করতে আমাদের 12-ঘন্টার ঘড়িতে কাঁটাগুলোর কোণ এবং সময়ের মধ্যে সম্পর্ক বুঝতে হবে। 12-ঘন্টার ঘড়িতে মিনিটের কাঁটা এবং ঘন্টার কাঁটার মধ্যবর্তী কোণ 30 ডিগ্রী (360 ডিগ্রী / 12 ঘন্টা = 30 ডিগ্রী প্রতি ঘন্টা)।

জন যখন সন্ধ্যা 6টার পর বাড়ি থেকে বের হয়েছিলেন, তখন মিনিটের কাঁটা এবং ঘন্টার কাঁটার মধ্যবর্তী কোণ ছিল 110 ডিগ্রী। এর মানে হল মিনিটের কাঁটা ঘন্টার কাঁটার থেকে 110 - 30 = 80 ডিগ্রী অতিক্রম করেছে।

জন যখন 6টার পর কিন্তু 7 টার আগে বাড়ি ফিরে আসেন, তখন মিনিটের কাঁটা এবং ঘন্টার কাঁটার মধ্যবর্তী কোণ এখনও 110 ডিগ্রী ছিল। এর মানে হল মিনিটের কাঁটা ঘন্টার কাঁটার থেকে একই পরিমাণে, 80 ডিগ্রী, অতিক্রম করেছে।

এখন, আমাদের বের করতে হবে জন কত মিনিটের জন্য বাইরে ছিলেন যখন তিনি পাঁচ মিনিটের বেশি সময়ের জন্য বাইরে ছিলেন। মিনিটের কাঁটা প্রতি মিনিটে 6 ডিগ্রী (360 ডিগ্রী / 60 মিনিট) অতিক্রম করে।

যদি জন 80 ডিগ্রী কাঁটার মধ্যবর্তী কোণ অতিক্রম করেন, তাহলে তিনি বাইরে ছিলেন 80 / 6 = 13.33 মিনিট। তবে, যেহেতু তিনি পাঁচ মিনিটের বেশি সময়ের জন্য বাইরে ছিলেন, আমাদের 13.33 মিনিটের পর 5 মিনিট যোগ করতে হবে।

সুতরাং, মোট বাইরে থাকার সময় হল 13.33 + 5 = 18.33 মিনিট। তবে, প্রদত্ত অপশনগুলো পূর্ণ সংখ্যায় আছে, তাই আমাদের নিকটতম পূর্ণ সংখ্যায় রাউন্ড করতে হবে। 18.33 মিনিটের নিকটতম পূর্ণ সংখ্যা হল 19, কিন্তু যেহেতু অপশনগুলো 19 এর মধ্যে নেই, তাই আমাদের প্রদত্ত অপশনগুলো পরীক্ষা করতে হবে। অপশনগুলোর মধ্যে 18.33 মিনিটের নিকটতম পূর্ণ সংখ্যা হল 18, কিন্তু যেহেতু সমস্যাটিতে বলা হয়েছে তিনি পাঁচ মিনিটের বেশি সময়ের জন্য বাইরে ছিলেন, তাই সঠিক উত্তর হওয়া উচিত 19, কিন্তু যেহেতু অপশনগুলোর মধ্যে 19 নেই, তাই নিকটতম সঠিক অপশন হল 18।

তবে, সঠিক গণনা অনুযায়ী, সঠিক উত্তর হওয়া উচিত 19, কিন্তু যেহেতু অপশনগুলোর মধ্যে 19 নেই, তাই নিকটতম সঠিক অপশন হল:

উত্তর: B","B","True"
"ধরা যাক, $f(x)=3x+4$ এবং $g(x)=2x-3$। যদি $h(x)=f(g(x))$ হয়, তবে $h(x) এর বিপরীত ফাংশন কোনটি?","\frac{x-5}{3}","\frac{x+5}{3}","\frac{x+5}{6}","\frac{x-5}{6}","C","high_school_mathematics","$h(x) = f(g(x))$ এর বিপরীত ফাংশন বের করতে, আমাদের প্রথমে $h(x)$ কে $x$ এর মাধ্যমে প্রকাশ করতে হবে।

প্রদত্ত:
\[ f(x) = 3x + 4 \]
\[ g(x) = 2x - 3 \]

প্রথমে, $g(x)$ কে $x$ এর মাধ্যমে প্রকাশ করি:
\[ g(x) = 2\left(\frac{x + 5}{3}\right) = \frac{2(x + 5)}{3} \]

এখন, $f(g(x))$ কে গণনা করি:
\[ h(x) = f(g(x)) = f\left(\frac{2(x + 5)}{3}\right) \]
\[ h(x) = 3\left(\frac{2(x + 5)}{3}\right) + 4 \]
\[ h(x) = 2(x + 5) + 4 \]
\[ h(x) = 2x + 10 + 4 \]
\[ h(x) = 2x + 14 \]

এখন, $h(x)$ এর বিপরীত ফাংশন বের করতে হবে। $h(x) = 2x + 14$ এর ফর্মে বিপরীত ফাংশন হলো:
\[ x = \frac{h(x) - 14}{2} \]

এটিকে পুনরায় লিখলে:
\[ x = \frac{2x + 14 - 14}{2} \]
\[ x = \frac{2x}{2} \]
\[ x = x \]

সুতরাং, বিপরীত ফাংশন হলো:
\[ h(x) = \frac{x + 5}{6} \]

উত্তর: C","C","True"
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}$ নির্ণয় করুন।","1","-1","0","2","B","high_school_mathematics","প্রদত্ত অভিব্যক্তিটি সমাধান করতে, আমরা ধাপে ধাপে গণনা করব। প্রথমে, অভিব্যক্তিটি সরল করি:

1. \(-\dfrac{1}{-3}\) কে সরল করি:
   \[
   -\dfrac{1}{-3} = \dfrac{1}{3}
   \]
   কারণ \(-\dfrac{1}{-3}\) হলো \(-\dfrac{1}{\text{3}}\) এর ধনাত্মক রূপ, যা \(\dfrac{1}{3}\) এর সমান।

2. \(\dfrac{1}{\dfrac{1}{-3}}\) কে সরল করি:
   \[
   \dfrac{1}{\dfrac{1}{-3}} = 1 \times \left(\dfrac{-3}{-1}\right) = 1 \times 3 = 3
   \]
   কারণ \(\dfrac{1}{\dfrac{1}{-3}}\) হলো \(\dfrac{1}{3}\) কে সরলীকরণ করা, যা \(3\) এর সমান।

এখন, সরলীকৃত অভিব্যক্তিগুলি গুণ করি:
\[
\dfrac{1}{3} \times 3 = 1
\]

অতএব, চূড়ান্ত উত্তর হলো:
উত্তর: A","A","False"
