question,A,B,C,D,answer,subject
4টি সম্পূর্ণ ভিন্ন বলকে 2টি হুবুহু একই রকমের দুইটি বাক্সে কত রকমভাবে রাখা যায়?,7,11,16,8,D,high_school_mathematics
কতগুলো ধনাত্নক পূর্ণসংখ্যা 120 এবং 40 উভয়েরই উৎপাদক?,4,8,2,1,B,high_school_mathematics
"কার্লোস মন্টাডো শনিবার, নভেম্বর 9, 2002-এ জন্মগ্রহণ করেছিলেন। সপ্তাহের কোন দিনে কার্লোসের বয়স 706 দিন হবে? (সপ্তাহের পুরো দিনটি বানান করে লিখুন।)",শুক্রবার,বৃহস্পতিবার,বুধবার,মঙ্গলবার,A,high_school_mathematics
$5!$ প্রতীকের অর্থ $5\cdot 4\cdot 3\cdot 2\cdot 1$। সর্ববৃহৎ বিজোড় পূর্ণসংখ্যা কোনটি যেটি $5!$ এর একটি উৎপাদ হবে?,5,3,15,31,C,high_school_mathematics
একটি সামন্তরিক চতুর্ভুজ $ABCD$ এর কোণ $B$ এর মান $110^\circ$। কোণ $C$ এর মান কত ডিগ্রী?,145,90,60,70,D,high_school_mathematics
"পানির ট্যাঙ্ক থেকে দূষক অপসারণের একটি প্রক্রিয়ার গতি বাকি থাকা দূষকের পরিমাণের সাথে সমানুপাতিক। যদি প্রক্রিয়ার প্রথম মিনিটে 20% দূষক অপসারণ করা যায় এবং পানিকে নিরাপদ করতে হলে 98% দূষক অপসারণ করতে হয়, তবে দূষণ অপসারণ প্রক্রিয়া সম্পন্ন হতে আনুমানিক কত সময় লাগবে?",2 মিনিট,5 মিনিট,18 মিনিট,20 মিনিট,C,high_school_mathematics
$f(x)=\frac{x+6}{\sqrt{x^2-3x-4}}$ ফাংশনের ডোমেন কী?,"(-4,4)","[0,4]","(-inf, -1) U (4, inf)","(-inf, -1) U (-1, 4) U (4, inf)",C,high_school_mathematics
y = (ln x)/x ফাংশনের আপেক্ষিক সর্বোচ্চ মান,1,e,2/e,1/e,D,high_school_mathematics
$1 \cdot 2 \cdot 3 \cdot 4 \cdot 5 \cdot 6 \cdot 7 \cdot 8 \cdot 9$ এর একক স্থানীয় অংকটি কী?,1,2,0,5,C,high_school_mathematics
মূল বিন্দু থেকে $x^2-24x +y^2+10y +160=0$ দ্বারা বর্ণিত বৃত্তের ক্ষুদ্রতম দূরত্ব কত?,10,16,24,12,A,high_school_mathematics
"16, 15, এবং 12 উৎপাদ দ্বারা গঠিত ক্ষুদ্রতম ধনাত্নক পূর্ণসংখ্যা কোনটি?",12,22,840,240,D,high_school_mathematics
"একটি সাধারণ 52 তাসের ডেক থেকে 3টি তাস বাছাই করার কতগুলো উপায় আছে, যদি তিনটি তাসই ভিন্ন ভিন্ন রঙের হতে হয়? (ধরা যাক যে তাসগুলির ক্রম বিবেচনায় আনা হয় না।)",8788,2,2197,21,A,high_school_mathematics
"$C$ একটি বৃত্ত যার সমীকরণ হল $x^2+12y+57=-y^2-10x$। যদি $(a,b)$ $C$ এর কেন্দ্র হয় এবং $r$ এর ব্যাসার্ধ হয়, $a+b+r$ এর মান কত?",-9,-5,-6,-57,A,high_school_mathematics
"ধরা যাক, $y=f(x)$ এর গ্রাফে $(1,5),$ $(2,3),$ এবং $(3,1)$ বিন্দুগুলো অন্তর্ভুক্ত। শুধু এই তথ্যের উপর ভিত্তি করে, $y=f(f(x))$ এর গ্রাফের অবশ্যই দুটি বিন্দু থাকবে। যদি ঐ দুটি বিন্দুকে $(a,b)$ এবং $(c,d),$ বলা হয়, তাহলে $ab+cd$ এর মান কত?",15,5,9,17,D,high_school_mathematics
$\dbinom{85}{82}$ এর মান বের করুন।,252,4680,98770,101170,C,high_school_mathematics
"একটি 8.5 বাই 11 ইঞ্চি কাগজ বারবার অর্ধেক ভাঁজ করা হয় (কখনও ভাঁজ খোলা হয় না), প্রতিবার সেই বারের দীর্ঘতর দিকটি ছোট করা হয়। দ্বিতীয় ভাঁজের পরে দীর্ঘতর দিকটির দৈর্ঘ্য কত ইঞ্চি হবে? আপনার উত্তরটি একটি এক দশমিক সংখ্যা হিসেবে প্রকাশ করুন।",4.5,1,5.5,5,C,high_school_mathematics
"16, 15, এবং 12 উৎপাদ দ্বারা গঠিত ক্ষুদ্রতম ধনাত্নক পূর্ণসংখ্যা কোনটি?",240,120,60,111,A,high_school_mathematics
সকল পূর্ণসংখ্যা $k$ এর যোগফল নির্ণয় করুন যেন $\binom{23}{4} + \binom{23}{5} = \binom{24}{k}$ হয়।,24,5,3,21,A,high_school_mathematics
"$888x + 889y = 890$ and $891x + 892y = 893$ হলে, $x - y$ এর মান কত?",1,-3,-1,3,B,high_school_mathematics
"একটি সংখ্যার মৌলিক উৎপাদক হল 2, 5, 7, 13, এবং 31। নিম্নলিখিত কোনটি সংখ্যাটির একটি উৎপাদক হবে?",4,6,10,15,C,high_school_mathematics
"এক দল লোক একটি কাগজে 12345.6789 লিখলো। এরপর তারা একটি খেলা খেলার সিদ্ধান্ত নিল। এই খেলায় সেই জয়ী হবে যে প্রদত্ত সংখ্যাটির একটি নিকটতম আসন্ন মান বের করতে পারবে যার মান অন্যান্যদের বের করা মানের চেয়ে বড় হবে। অ্যালিস অযুতের ঘর পর্যন্ত আসন্ন মান বের করলেন, বব হাজারের ঘর পর্যন্ত, ক্যারোল শতকের ঘর পর্যন্ত, ডেভন দশকের ঘর পর্যন্ত এবং ইউজিন পূর্ণ সংখ্যা পর্যন্ত। উপরন্তু, ফেলিসিটি এক দশমিক স্থান পর্যন্ত, জেরাল্ড দুই দশমিক স্থান পর্যন্ত, হ্যারি তিন দশমিক স্থান পর্যন্ত এবং আইরিন চার দশমিক স্থান পর্যন্ত আসন্ন মান বের করলেন। খেলাটি কে জিতলেন?",অ্যালিস,ডেভন,বব,জেরাল্ড,B,high_school_mathematics
$36-9x^2$ এর উৎপাদক নির্ণয় করুন।,(6-3x)(6+3x),(-3x+6)(3x+6),9(2-x)(2+x),3(2+x)^2,C,high_school_mathematics
"একটি পথ তৈরি করতে প্রথম পাথরটি স্থাপনের জন্য, অ্যালেক্স পাথরের ক্রেট থেকে শুরু করে তিন ফুট হেঁটে যায়, পাথরটি স্থাপন করে এবং ক্রেটে ফিরে আসে। প্রতিটি পরবর্তী পাথরের জন্য, অ্যালেক্স দুই ফুট করে বেশি পথ হেঁটে যায় এবং ফিরে আসে। অ্যালেক্স মোট 50টি পাথর পথের মধ্যে স্থাপন করবে। 50তম পাথরটি স্থাপন করে ক্রেটে ফেরার পর অ্যালেক্স মোট কত ফুট দূরত্ব হাঁটবে?",100,90950,5200,50,C,high_school_mathematics
"একটি বাক্সে 4টি সাদা বল এবং 4টি কালো বল রয়েছে। আমি বাক্স থেকে একটি একটি করে বল উঠাচ্ছি। প্রতিবার আমার উঠানো বল রঙ পরিবর্তন করবে (একবার সাদা, একবার কালো), এর সম্ভাবনা কত?",\frac{1}{8},\frac{1}{7},\frac{1}{40},\frac{1}{35},D,high_school_mathematics
এমন ক্ষুদ্রতম মৌলিক সংখ্যা কোনটি যার অংকগুলোর যোগফল $19$ হবে?,5,11,17,199,D,high_school_mathematics
$h(x) = \sqrt{25-x^2}+\sqrt{-(x-2)}$ ফাংশনের ডোমেনের পরিসরের বিস্তার কত?,7,5,2,25,A,high_school_mathematics
জন তার স্মারক টুপির পিনগুলি দুটি ভাগে ভাগ করলেন। দুটি ভাগে একই সংখ্যক পিন ছিল। তিনি তার ভাইকে এক ভাগের এক-তৃতীয়াংশের অর্ধেক দিয়েছিলেন। জনের কাছে 66 টি পিন বাকি ছিল। জনের কাছে প্রাথমিকভাবে কতটি পিন ছিল?,792,66,396,72,D,high_school_mathematics
"$f(x) = 8x^3 - 6x^2 - 4x + 5$ হলে, $f( -2)$ এর মান বের করুন।",5,-75,-64,-24,B,high_school_mathematics
"বিরতির সময়ে খারাপ আচরণের শাস্তি হিসেবে, মিসেস বিজিওয়ার্ক তার শিক্ষার্থীদের 10 এর সাথে $\frac{1}{3}$ পাঁচ বার গুণ করতে বললেন। তবে, জন লক্ষ্য করে যে একটি ভিন্ন ভগ্নাংশের সাথে 10 গুণ করা সম্ভব এবং অন্যান্য শিক্ষার্থীদের মতো একই উত্তর পাওয়া যায়। এই একক ভগ্নাংশটি কী?",\frac{1}{27},\frac{1}{68},\frac{1}{3},\frac{1}{243},D,high_school_mathematics
"ধরা যাক, একটি ফাংশন $y=f(x)$ এর গ্রাফের এমন বৈশিষ্ট্য আছে যে একে 20 একক ডানে সরালে যে গ্রাফ পাওয়া যাবে তা মূল $y=f(x)$ গ্রাফের মত একই রকম হবে। $a$ এর ক্ষুদ্রতম ধনাত্নক কোন মানের জন্য $y=f\left(\frac x5\right)$ ফাংশনের গ্রাফকে $a$ একক ডানে সরালে আমরা জানবো যে যে গ্রাফটি পাওয়া যাবে তা মূল $y=f\left(\frac x5\right)$ গ্রাফের মত একই হবে?",100,4,5,20,A,high_school_mathematics
"লবে $2,3,4,$ বা $6$ এবং হরে $2,3,4,$ বা $6$ দিয়ে কত গুলো অনন্য ভগ্নাংশ তৈরি করা যাবে?",1,9,2,10,B,high_school_mathematics
প্যাসকেলের ত্রিভুজের যেই সারিতে 43টি সংখ্যা আছে সেই সারির দ্বিতীয় সংখ্যাটি কত?,43,16,42,44,C,high_school_mathematics
"জনাব প্যাট্রিক তার ক্লাসের জন্য একটি পাঁচটি প্রশ্নের সত্য-মিথ্যা কুইজ প্রস্তুত করছেন। প্রথম প্রশ্ন লেখার আগে তিনি একটি পয়সা উপরের দিকে ছুড়েন। যদি এটি উপরের দিকে মুখ করে থাকে, তবে তিনি একটি সত্য বিবৃতি লিখেন এবং যদি এটি নিচের দিকে মুখ করে থাকে, তবে তিনি একটি মিথ্যা বিবৃতি লিখেন। তিনি এই প্রক্রিয়াটি চালিয়ে যান যতক্ষণ না পাঁচটি বিবৃতিই লেখা হয়। সঠিক উত্তরের ক্রম TFTFT (সত্য/মিথ্যা/সত্য/মিথ্যা/সত্য) হবে এর সম্ভাবনা কত? আপনার উত্তরটি একটি সাধারণ ভগ্নাংশে প্রকাশ করুন।",\frac{1}{6},\frac{1}{64},\frac{1}{32},\frac{1}{2},C,high_school_mathematics
"ধরা যাক, $f(x)=\frac{(x-2)^2-9}{3}$। $y=f(x)$ সমীকরণটি গ্রাফ করা হল, এবং $x$- এবং $y$-ছেদক গুলো একটি বহুভূজের আকারে সংযুক্ত। বহুভূজটির ক্ষেত্রফল কত?",5,\frac{25}{6},\frac{\sqrt{2465}{9},2,A,high_school_mathematics
$\log_{b}343=-\frac{3}{2}$ হলে $b$ কত?,3,\frac{1}{49},\frac{1}{7},7,B,high_school_mathematics
একটি ত্রিভুজের দীর্ঘতম বাহুর দৈর্ঘ্য 10। নিচের কোনগুলো অপর বাহুদ্বয়ের দৈর্ঘ্য হতে পারে না?,"4, 7","5, 5","3, 9","9, 8",B,high_school_mathematics
"দুটি পূর্ণসংখ্যার ক্ষুদ্রতম সাধারণ গুণিতক 240 এবং বৃহত্তম সাধারণ উৎপাদ 24 হলে, যদি একটি পূর্ণসংখ্যা 48 হয়, তবে অন্যটি কত?",1,120,20,12,B,high_school_mathematics
$3^{x^2+4x+4}=9^{x+2}$ হলে $x$ এর সম্ভাব্য সকল মানের যোগফল নির্ণয় করুন।,1,2,-2,0,C,high_school_mathematics
"একটি কালচারে ব্যাকটেরিয়ার সংখ্যা তাদের বর্তমান উপস্থিতির অনুপাতে বৃদ্ধি পায়। 200 ব্যাকটেরিয়ার একটি প্রারম্ভিক সংখ্যা 10 ঘণ্টায় তিনগুণ হয়ে উঠে। যদি এই বৃদ্ধিতে কোন বাধা না দেওয়া হয়, তবে 1 দিন পরে ব্যাকটেরিয়ার আনুমানিক সংখ্যা হবে",1160,1440,2408,2793,D,high_school_mathematics
"যদি x এবন y সমানুপাতিক হয় এবং x = 3 হয় যখন y = 8, তাহলে y = 13 হলে x এর মান কত?",0.615,4.875,15,34.667,B,high_school_mathematics
"f (x) = x^3 + 2x^2 – 9x – 18 সত্য হলে, নিচের কোন বিবৃতিটি সত্য?",f (x) = 0 এর তিনটি বাস্তব সমাধান আছে।,সকল x ≥ 0 মানের জন্য f (x) ≥ –18।,সকল x ≤ 0 মানের জন্য f (x) ≤ –18।,x ≤ –3 মানের জন্য f (x) ফাংশনটি নিম্নগামী।,A,high_school_mathematics
"এন্টনের একটি পিঁপড়ার ফার্মে দুইটি প্রজাতির পিঁপড়া আছে, প্রজাতি A এবং প্রজাতি B। দুইটি প্রজাতি চেহারায় একই হলেও, এন্টন জানেন যে প্রতিদিন প্রজাতি A এর পিঁপড়া আগের পরিমাণের দ্বিগুণ থাকে, আর প্রজাতি B এর পিঁপড়া তিনগুণ। দিন 0 এ, এন্টন গণনা করেন যে পিঁপড়া ফার্মে 30 টি পিঁপড়া আছে। দিন 5 এ, এন্টন গণনা করেন যে পিঁপড়া ফার্মে 3281 টি পিঁপড়া আছে। এই পিঁপড়াগুলোর মধ্যে কতগুলি A প্রজাতির?",211,2321,11,608,D,high_school_mathematics
"$|x-4| -10 = 2$ সমীকরণে, $x$ এর সকল সম্ভাব্য মানের গুণফল কত?",-8,128,-128,16,C,high_school_mathematics
"7টি সংখ্যার গড় হল 15। 8ম সংখ্যাটি যোগ করা হলে, গড় কমে 12 হয়। 8ম সংখ্যাটি কত?",–12,–9,0,8,B,high_school_mathematics
"3^(x – 3) + 10 = 19 হলে, x =",3,4,5,6,C,high_school_mathematics
"ধরি $f(x)$ একটি বহুপদী যার ডিগ্রী $6$ এবং $g(x)$ একটি বহুপদী যার ডিগ্রী $3$। যদি $h(x)$ ও একটি বহুপদী হয় যেখানে, $f(g(x)) + g(h(x)) + h(f(x))$ বহুপদীটির ডিগ্রী হবে $36$, তবে $h$ বহুপদীটির ডিগ্রী কত?",72,6,18,12,B,high_school_mathematics
"$(0,0)$, $(3,0)$, $(3,2)$, এবং $(0,2)$ স্থানাঙ্কের প্রান্তবিন্ধু বিশিষ্ট চতুর্ভুজের অভ্যন্তর থেকে যেকোন একটি $(x,y)$ বিন্দু ধরা হলে, $x < y$ হওয়ার সম্ভাবনা কত?",\frac{1}{12},\frac{1}{6},\frac{2}{3},\frac{1}{3},D,high_school_mathematics
"রসলিনের বিশটি বাক্স আছে। এর মধ্যে তেরটি বাক্সে পেন্সিল, নয়টি বাক্সে কলম, এবং তিনটি বাক্সে পেন্সিল বা কলম কোনটিই নেই। কতগুলো বাক্সে পেন্সিল এবং কলম উভয়ই আছে?",5,2,13,139,A,high_school_mathematics
কতগুলো 4-অংকের ধনাত্নক পূর্ণসংখ্যা কেবল বিজোড় অংক বিশিষ্ট?,100,999,625,500,C,high_school_mathematics
$$\frac{-\frac{18}{7}}{-\frac{6}{5}}?$$ কত?,\frac{7}{15},\frac{15}{7},\frac{15}{8},\frac{15}{11},B,high_school_mathematics
200 এর ধনাত্নক বর্গমূল 121 এর ধনাত্নক বর্গমূল হতে কত শতাংশ বড়? আপনার উত্তরটি আসন্ন পূর্ণসংখ্যার মান দিয়ে প্রকাশ করুন।,29,14,27,11,A,high_school_mathematics
"$(2x + 3y)^2 = 4$ এবং $xy = -5$ হলে, $4x^2 + 9y^2$ এর মান কত?",-5,13,64,25,C,high_school_mathematics
"তিনটি বাস্তব সংখ্যার একটি সমান্তর ধারার প্রথম পদ 9। যদি এর দ্বিতীয় পদের সাথে 2 এবং তৃতীয় পদের সাথে 20 যোগ করা হয়, তবে পাওয়া পদগুলো একটি গুণোত্তর ধারা তৈরি করে।  গুণোত্তর ধারাটির তৃতীয় পদের সম্ভাব্য ক্ষুদ্রতম মান কত?",2,1,9,16,B,high_school_mathematics
"প্রদত্ত একটি ধারার প্রথম পদ 1, এবং ধারার এরপরের প্রতিটি পদ এর পূর্ববর্তী সকল পদের যোগফল। প্রথম যেই পদটির মান 5000 এর বেশি হয় তার মান কত?",10240,5001,5002,8192,D,high_school_mathematics
কোন বিবৃতিটি সত্য?,"যদি x = c বিন্দুতে f(x) ফাংশনটি নিরবিচ্ছিন্ন থাকে, তবে f′(c) বিদ্যমান।","f′(c) = 0 হলে, (c, f (c)) বিন্দুতে f এর একটি স্থানীয় সর্বনিম্ন বা সর্বোচ্চ মান আছে।","f′′(c) = 0 হলে, (c, f (c)) বিন্দুতে f এর গ্রাফের একটি বক্রতার বিন্দু আছে।","f যদি x=c বিন্দুতে অন্তরীকরণযোগ্য হয়, তবে f x=c বিন্দুতে অবিচ্ছিন্ন হবে।",D,high_school_mathematics
"ধরা যাক, $a\star b = a^b-ab$। যদি $2\star x = 22$ হয়, $x$ এর মান নির্ণয় করুন।",5,22,11,6,A,high_school_mathematics
2011 সালের ফেব্রুয়ারি মাসে 28 দিন আছে এবং মার্চ মাসে 31 দিন। সপ্তাহের কোন দিনে পরের মাস এপ্রিল শুরু হবে?,বুধবার,বৃহস্পতিবার,শুক্রবার,শনিবার,C,high_school_mathematics
"একটি শহরের বাসিন্দাদের মধ্যে একটি ভাইরাস ছড়িয়ে পড়ছে, এবং প্রতি 3 দিনে ভাইরাসটিতে আক্রান্ত লোকের সংখ্যা দ্বিগুণ হয়ে যায়। যদি শহরটিতে 1000 জন মানুষ থাকে, এবং জানুয়ারির 1 তারিখ 10 জন মানুষ এই ভাইরাসে আক্রান্ত হয়ে থাকে, কত শীঘ্রই কোন তারিখে সম্পূর্ণ শহর ভাইরাসটিতে আক্রান্ত হয়ে যাবে, প্রদত্ত যে এক বছরে 365 দিন এবং জানুয়ারিতে 31 দিন।",জানুয়ারির 10 তারিখ,জানুয়ারির 21 তারিখ,জানুয়ারির 31 তারিখ,ফেব্রুয়ারির 10 তারিখ,B,high_school_mathematics
"$25, 26, 27, \ldots, 99, 100 এর তালিকায় কতটি সংখ্যা আছে?$",75,76,22,23,B,high_school_mathematics
MISSISSIPPI শব্দে থাকা অক্ষরগুলির সাবসেট পুনঃবিন্যাস করে 2 অক্ষর বা তার বেশি এমন কতগুলো প্যালিনড্রোম (যা সামনে থেকে পিছনে পড়লেও একই শব্দ হয়) গঠন করা যায় যার মধ্যে M অক্ষর রয়েছে?,89,66,86,2012,A,high_school_mathematics
 25^1059 কে 23 দ্বারা ভাগ করলে যে ভাগশেষ থাকে তা নির্ণয় করুন।,11,13,8,5,C,high_school_mathematics
252 এবং 96 এর গসাগু কত?,6,24,5,12,D,high_school_mathematics
"সংরক্ষণাগারে নয় ব্যাগ পাখির খাবার আছে। সোমবারে আরও সতেরোটি ব্যাগ আসবে। বাইশটি ব্যাগ আসবে মঙ্গলবারে। বুধবারে তিনটি ব্যাগ আস্পবে। বৃহস্পতিবারে এগারোটি ব্যাগ আসবে। সবশেষে, শুক্রবারে আঠারোটি ব্যাগ আসবে। সপ্তাহের শেষে, মোট কত ব্যাগ পাখির খাবার থাকবে?",9,25,60,80,D,high_school_mathematics
সরল করুন $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$,3k+1,5k,3k,1,B,high_school_mathematics
"যদি একটি ঘড়ি প্রতি ঘন্টায় যতটা বাজে ঠিক ততবার বাজে (অর্থাৎ 3টা বাজলে 3 বার বাজবে) এবং ঘন্টার মধ্যবর্তী সময়ে প্রতি 15 মিনিট পরপর একবার করে বাজে (অর্থাৎ 3:15, 3:30, এবং 3:45 এ), তাহলে বিকাল 5:10 এবং রাত 7:35 এর মধ্যবর্তী সময়ে ঘড়িটি কতবার বাজবে?",3,15,18,21,D,high_school_mathematics
একটি সমবাহু ত্রিভুজের বাহুর দৈর্ঘ্য 12 ইঞ্চি। ত্রিভুজটির আনুমানিক ক্ষেত্রফল কত?,62,72,84,112,A,high_school_mathematics
"একটি নির্দিষ্ট ফাংশন $f(x)$ এর গ্রাফ $2$ একক ডানদিকে সরালে এবং উল্লম্বভাবে $2$ গুণ প্রসারিত করলে ( অর্থাৎ সকল $y$ স্থানাঙ্কগুলোকে দ্বিগুণ করা হয়), যেই চিত্রটি পাওয়া যায় তা মূল গ্রাফের সদৃশ। যদি $f(0)=0.1$ হয়, $f(10)$ কত?",0.01,1,32,3.2,D,high_school_mathematics
"$f(x)=\frac{1+x}{1-x}$ and $g(x)=\frac{-2}{x+1}$ এর সংজ্ঞা দেন। \[g(f(g(f(\dotsb g(f(12)) \dotsb ))))\] এর মান নির্ণয় করুন যেখানে $f$ ফাংশনটি 8 বার, এবং $g$ ফাংশনটি 8 বার প্রয়োগ করা হয়, দুটির মধ্যে পালাবদল করে।",12,8,4,0,C,high_school_mathematics
"জন লক্ষ্য করলেন যে তিনি যখন সন্ধ্যা 6টার পর বাড়ি থেকে বের হয়েছিলেন তখন একটি সাধারণ 12-ঘন্টার ঘড়িতে মিনিটের কাঁটা এবং ঘন্টার কাঁটার মধ্যবর্তী কোণ ছিল 110 ডিগ্রী; সেই রাতেই 6টার পর কিন্তু 7 টার আগে তিনি বাড়ি ফিরে লক্ষ্য করলেন তখনও ঘড়ির কাঁটাদ্বয়ের মধ্যবর্তী কোণ 110 ডিগ্রী। যদি তিনি পাঁচ মিনিটের বেশি সময়ের জন্য বাড়ির বাইরে থেকে থাকেন, তিনি কত মিনিটের জন্য বাইরে ছিলেন?",36,40,38,43,B,high_school_mathematics
