question,A,B,C,D,answer,subject
"设 C 是方程 x^2+12y+57=-y^2-10x 的圆。若 (a,b) 是 C 的中心，且 r 是它的半径。则 a+b+r 的值是多少？",-9,-5,-6,-57,A,high_school_mathematics
"假设图形 y=f(x) 包含点 (1,5)、(2,3) 和 (3,1)。仅根据此信息，有两个点必须在图形 y=f(f(x)) 上。若我们称这些点为 (a,b) 和 (c,d)，则 ab+cd 是多少？",15,5,9,17,D,high_school_mathematics
计算 \dbinom{85}{82}。,252,4680,98770,101170,C,high_school_mathematics
一张 8.5 * 11 英寸的纸被反复对折（从不展开），每次都缩短当时较长的一侧。第二次折后最长边的长度是多少（英寸为单位）？将你的答案用最接近十分位的小数表示。,4.5,1,5.5,5,C,high_school_mathematics
具有 16、15、12 因数的最小正整数是多少？,240,120,60,111,A,high_school_mathematics
求满足 \binom{23}{4} + \binom{23}{5} = \binom{24}{k} 的所有整数 k 的和。,24,5,3,21,A,high_school_mathematics
若 888x + 889y = 890 且 891x + 892y = 893，则 x - y 的值是多少？,1,-3,-1,3,B,high_school_mathematics
一个数字的质因数是 2、5、7、13 和 31。下列哪项一定是该数的因数？,4,6,10,15,C,high_school_mathematics
一群人把数字 12345.6789 写在一张纸上。然后这群人决定玩个游戏。谁能把给定数字四舍五入并得到一个比其他任何人都高的数字，谁就是游戏的赢家。Alice 把数字四舍五入到最接近的一万，Bob 四舍五入到最接近的千，Carol 四舍五入到最接近的百，Devon 四舍五入到最接近的十，Eugene 四舍五入到最接近的整数。另外，Felicity 把数字四舍五入到最接近的十分位数，Gerald 把数字四舍五入到最接近的百分位数，Harry 把数字四舍五入到最接近的千分位数，Irene 把数字四舍五入到最接近的万分位数。谁赢了这场游戏？,Alice,Devon,Bob,Gerald,B,high_school_mathematics
因式分解 36-9x^2。,(6-3x)(6+3x),(-3x+6)(3x+6),9(2-x)(2+x),3(2+x)^2,C,high_school_mathematics
为了在路上放置第一块铺路石，Alex 从装着石头的箱子开始：走三英尺，放下石头，再回到箱子那里。对于后面的每一块石头，Alex 每次都多前进两英尺。Alex 会在路上放置前 50 块石头。在放完第 50 块石头返回到箱子后，Alex 总共走了多少路程（以英尺为单位）？,100,90950,5200,50,C,high_school_mathematics
一个盒子里有 4 个白球和 4 个黑球。我把它们从盒子里抽出来，一次一个。抽出来的球都是交替颜色的概率是多少？,\frac{1}{8},\frac{1}{7},\frac{1}{40},\frac{1}{35},D,high_school_mathematics
位数和为 19 的最小素数是多少？,5,11,17,199,D,high_school_mathematics
函数 h(x) = \sqrt{25-x^2}+\sqrt{-(x-2)} 的定义域是多大宽度的区间？,7,5,2,25,A,high_school_mathematics
John 把他的纪念帽别针分成两堆。这两堆有相同数量的别针。他给他哥哥一堆的三分之一的一半。John 还剩下 66 个别针。John 最初有多少个别针？,792,66,396,72,D,high_school_mathematics
若 f(x) = 8x^3 - 6x^2 - 4x + 5，求 f( -2) 的值。,5,-75,-64,-24,B,high_school_mathematics
作为课间休息时表现不好的惩罚，Busywork 夫人要求她的学生将 10 乘以 \frac{1}{3} 五次。然而，John 注意到，可以将 10 乘以一个分数，并且仍然得到与其他学生相同的答案。这个分数是多少？,\frac{1}{27},\frac{1}{68},\frac{1}{3},\frac{1}{243},D,high_school_mathematics
假设某函数 y=f(x) 的图形有这样的性质：若向右移动 20 个单位，则生成的图形与 y=f(x) 的原始图形相同。若 y=f\left(\frac x5\right) 的图形向右移动 a 个单位，生成的图形与原来的 y=f\left(\frac x5\right) 的图形相同，则满足此条件的最小的正 a 是多少？,100,4,5,20,A,high_school_mathematics
分子为 2、3、4 或 6，分母为 2、3、4 或 6 的分数可以产生多少唯一的数字？,1,9,2,10,B,high_school_mathematics
帕斯卡三角形中有 43 个数字的那一行的第二个数字是什么？,43,16,42,44,C,high_school_mathematics
Patrick 先生正在为他的班级准备一个五道题的正误测验。他在写第一道题之前抛硬币：若是正面，他写一个正确的陈述；若是反面，他写一个错误的陈述。他继续这样做，直到写完所有五道题。正确的答案顺序是 TFTFT 的概率是多少？将你的答案用公分数表示。,\frac{1}{6},\frac{1}{64},\frac{1}{32},\frac{1}{2},C,high_school_mathematics
设 f(x)=\frac{(x-2)^2-9}{3}。将方程 y=f(x) 画成图形，并将图形的 x 和 y 截距连接起来形成一个多边形。此多边形的面积是多少？,5,\frac{25}{6},\frac{\sqrt{2465}{9},2,A,high_school_mathematics
若 \log_{b}343=-\frac{3}{2}，求 b。,3,\frac{1}{49},\frac{1}{7},7,B,high_school_mathematics
三角形最长的边是 10。下列哪项不可能是另外两条边的长度？,"4, 7","5, 5","3, 9","9, 8",B,high_school_mathematics
两个整数的最小公倍数是 240，最大公约数是 24。已知其中一个整数是 48，另一个整数是多少？,1,120,20,12,B,high_school_mathematics
当 3^{x^2+4x+4}=9^{x+2} 时，求 x 所有可能值的和。,1,2,-2,0,C,high_school_mathematics
培养物中的细菌以与存在的数量成比例的速度增长。最初在 10 小时内繁殖了 200 组三倍增细菌。若这种增加模式持续不减，则一整天后细菌的大约数量是多少？,1160,1440,2408,2793,D,high_school_mathematics
若 x 和 y 成正比，且当 y = 8 时 x = 3，则当 y = 13 时 x 的值是多少？,0.615,4.875,15,34.667,B,high_school_mathematics
若 f (x) = x^3 + 2x^2 – 9x – 18，下面哪个说法是正确的？,f (x) = 0 有三个实数解。,对于所有 x ≥ 0，f (x) ≥ –18。,对于所有 x ≤ 0，f (x) ≤ –18。,对于 x ≤ –3，函数 f (x) 递减。,A,high_school_mathematics
Anton 的蚂蚁农场有两种蚂蚁，A 种和 B 种。两种蚂蚁在外表上一模一样，但 Anton 知道 A 种蚂蚁每天的数量是以前的两倍，B 种蚂蚁每天的数量是以前的三倍。第 0 天，Anton 数了蚂蚁农场里有 30 只蚂蚁。第 5 天，Anton 数了蚂蚁农场里有 3281 只蚂蚁。其中 A 种蚂蚁有多少只？,211,2321,11,608,D,high_school_mathematics
在方程 |x-4| -10 = 2 中，x 所有可能值的乘积是多少？,-8,128,-128,16,C,high_school_mathematics
7 个数的平均值是 15。当加上第 8 个数字时，平均值减少为 12。第 8 个数是多少？,–12,–9,0,8,B,high_school_mathematics
若 3^(x – 3) + 10 = 19，则 x =,3,4,5,6,C,high_school_mathematics
假设 f(x) 是一个次数为 6 的多项式，g(x) 是一个次数为 3 的多项式。若 h(x) 也是一个多项式，满足 f(g(x)) + g(h(x)) + h(f(x)) 是一个次数为 36 的多项式，则多项式 h 的次数是多少？,72,6,18,12,B,high_school_mathematics
"点 (x,y) 是从矩形内部随机选取的点，矩形顶点为 (0,0)、(3,0)、(3,2) 和 (0,2)。则 x < y 的概率是多少？",\frac{1}{12},\frac{1}{6},\frac{2}{3},\frac{1}{3},D,high_school_mathematics
Roslyn 有二十个盒子。13 个盒子里装着铅笔，9 个盒子里装着钢笔，3 个盒子里既不是钢笔也不是铅笔。有多少盒子既装钢笔又装铅笔？,5,2,13,139,A,high_school_mathematics
有多少个 4 位数正整数的位只有奇数？,100,999,625,500,C,high_school_mathematics
\frac{-\frac{18}{7}}{-\frac{6}{5}} 是什么？,\frac{7}{15},\frac{15}{7},\frac{15}{8},\frac{15}{11},B,high_school_mathematics
200 的正平方根比 121 的正平方根大百分之几？用最接近的整数表达你的答案。,29,14,27,11,A,high_school_mathematics
若 (2x + 3y)^2 = 4 且 xy = -5，则 4x^2 + 9y^2 的值是多少？,-5,13,64,25,C,high_school_mathematics
一个由三个实数组成的数列构成一个等差数列，第一项是 9。若第二项加 2，第三项加 20，得到的三个数字形成一个几何级数。几何级数第三项的最小可能值是多少？,2,1,9,16,B,high_school_mathematics
给定序列的第一项是 1，后续每一项都是该序列所有前项的和。第一个超过 5000 的项的值是多少？,10240,5001,5002,8192,D,high_school_mathematics
哪个说法是正确的？,若 f(x) 在 x = c 处连续，则 f′(c) 存在。,"若 f′(c) = 0，则 f 在 (c, f (c)) 处有局部最大值或最小值。","若 f′′(c) = 0，则 f 的图形在 (c, f (c)) 处有一个拐点。",若 f 在 x = c 处可微，则 f 在 x = c 处连续。,D,high_school_mathematics
设 a\star b = a^b-ab。若 2\star x = 22，求 x。,5,22,11,6,A,high_school_mathematics
2011 年 2 月有 28 天，3 月有 31 天。则下个月即四月是从星期几开始？,星期三,星期四,星期五,星期六,C,high_school_mathematics
一种病毒正在一个城镇的人口中传播，感染这种病毒的人数每三天翻一番。若镇上有 1000 人，1月1日有 10 人感染了病毒，考虑一年有 365 天，一月份有 31 天，则全镇感染病毒的最早日期是什么时候？,1 月 10 日,1 月 21 日,1 月 31 日,2 月 10 日,B,high_school_mathematics
列表 25、26、27、\ldots、99、100 中有多少个数字？,75,76,22,23,B,high_school_mathematics
通过重新排列字母 MISSISSIPPI 的任何子集，可以形成多少个包含字母 M 的 2 个或 2 个以上字母的回文（顺序向前读和向后读一样的排列）？,89,66,86,2012,A,high_school_mathematics
求 25^1059 除以 23 的余数。,11,13,8,5,C,high_school_mathematics
252 和 96 的最大公因数是什么？,6,24,5,12,D,high_school_mathematics
储藏室里有 9 袋鸟食。另外 17 袋将在周一送来。周二会送来 22 袋。周三送来 3 袋。周四送来 11 袋。最后，周五送来 18 袋。到本周末，总共会有多少袋鸟食？,9,25,60,80,D,high_school_mathematics
化简 \frac{k-3}{2} + 3k+1+\frac{3k+1}{2}。,3k+1,5k,3k,1,B,high_school_mathematics
若时钟每小时报时的次数与实际时间相同（例如，在下午 3 点，报时 3 次），并且每小时间隔 15 分钟报时一次（例如，在 3:15、3:30 和3:45），则在下午 5:10 到 7:35 之间总共会报时多少次？,3,15,18,21,D,high_school_mathematics
一个等边三角形的边长是 12 英寸。此三角形的大概面积是多少？,62,72,84,112,A,high_school_mathematics
当某个函数 f(x) 的图形向右移动 2 个单位，并垂直拉伸 2 个单位（意即所有 y 坐标加倍）得到的图形与原始图形相同。假设 f(0)=0.1，则 f(10) 是多少？,0.01,1,32,3.2,D,high_school_mathematics
定义 f(x)=\frac{1+x}{1-x} 和 g(x)=\frac{-2}{x+1}。求 \[g(f(g(f(\dotsb g(f(12)) \dotsb ))))\] 的值，其中函数 f 被应用了 8 次，函数 g 被应用了 8 次（在两者之间交替）。,12,8,4,0,C,high_school_mathematics
John 下午 6 点多出门时发现，标准 12 小时钟上的分针和时针形成的夹角是 110 度；当天下午 6 点多到 7 点之前他回家时，夹角也是 110 度。如果他离开家超过五分钟，他离开家多少分钟？,36,40,38,43,B,high_school_mathematics
设 f(x)=3x+4 且 g(x)=2x-3。若 h(x)=f(g(x))，则 h(x) 的逆是多少？,\frac{x-5}{3},\frac{x+5}{3},\frac{x+5}{6},\frac{x-5}{6},C,high_school_mathematics
求解 -\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}。,1,-1,0,2,B,high_school_mathematics
一个立体的底是以 x^2 = 4y 和直线 y = 2 为界的区域，每个垂直于 y 轴的平面截面都是一个正方形。则立体的体积是多少？,8,16,20,32,D,high_school_mathematics
假设 a 和 b 是实数，满足 -3\leq a\leq1 和 -2\leq b\leq 4，并且 a 和 b 的值是随机选择的，则乘积 a\cdot b 为正的概率是多少？将你的答案用公分数表示。,\frac{5}{12},\frac{5}{11},\frac{7}{12},\frac{5}{17},A,high_school_mathematics
泰勒多项式中，(x – 8)2 项的系数对于 y = x2/3 在 x = 8 附近是多少？,-1/144,-1/72,1/144,1/6,A,high_school_mathematics
"经过点 (5, 4) 和点 (–2, 3) 的直线斜率是多少？",0.14,0.2,0.33,5,A,high_school_mathematics
若某天下雨的概率是 70%，则同一天不下雨的概率是多少？,0%,30%,50%,70%,B,high_school_mathematics
满足 \frac{4^{(3^3)}}{(4^3)^3} = 2^N 的 N 值是多少？,9,27,36,34,C,high_school_mathematics
下列哪一点不是不等式 y > 9x – 8 和 y < – x + 8 的解？,"(– 2, 15)","(–1, 5)","(0, 0)","(1, 5)",A,high_school_mathematics
化简 (5x+3) - 2(2x-4)。,10+x,x+11,5x+3,7+2x,B,high_school_mathematics
设 f(x) = 3x^2-2 且 g(f(x)) = x^2 + x +1。求 g(25) 所有可能值的和。,13,25,9,20,D,high_school_mathematics
"54,321 小于 54,321 的最大因数是什么？",6,121,18107,"54,320",C,high_school_mathematics
直角三角形的斜边是 10 英寸，一个角是 45^{\circ}。则三角形的面积是多少平方英寸？,10,45,125,25,D,high_school_mathematics
假设从 20 到 69 之间随机选择 5 个不同的整数。它们都有不同十位的概率是多少？,\frac{1}{4},\frac{1}{3},\frac{1000}{52969},\frac{2500}{52969},D,high_school_mathematics
对于所有实数 x，若 f(x) = 2，则 f(x + 2) 的值是多少？,2,4,0,1,A,high_school_mathematics
从 -200 到 200 的 401 个整数中有多少等于 5 \pmod{13}？,30,31,60,45,B,high_school_mathematics
使 \sqrt{18\cdot n \cdot 34} 为整数的最小可能正整数 $n$ 是多少？,34,2,17,3,C,high_school_mathematics
若 f(2x) = x + 5 且 f(g(6)) = 13，则 2 * g(6) =,6,16,32,36,C,high_school_mathematics
将 0.\overline7 的倒数表示为简分数。,\frac{7}{2},\frac{7}{9},\frac{9}{2},\frac{9}{7},D,high_school_mathematics
Jennifer 正在参加马拉松比赛，全程 26.2 英里。若 Jennifer 以每小时 8 英里的速度跑完前半段比赛，后半段以每小时 6 英里的速度跑完比赛，她大约需要多少小时才能完成比赛？,2.62,3.74,3.82,4.12,C,high_school_mathematics
有 3 个不同质因数的最小完全平方是多少？,300,9,900,666,C,high_school_mathematics
若 a=7 且 b=13，小于 ab 的正偶数个数是多少？,45,46,90,180,A,high_school_mathematics
假设 a、b 和 c 是正数，满足 a^2/b = 1、b^2/c = 2、c^2/a = 3。求 a。,12^(1/7),7^(1/12),1,6,A,high_school_mathematics
求解 x:\left(\frac{1}{25}\right)^{x + 2} = 125^{-x}。,1,2,3,4,D,high_school_mathematics
圆 2x^2 = -2y^2 + 12x - 4y + 20 嵌在一个正方形内，正方形有一对平行于 x 轴的边。正方形的面积是多少？,80,\sqrt{20},2\sqrt{20},20,A,high_school_mathematics
求和 \[\frac{1}{2^1} + \frac{2}{2^2} + \frac{3}{2^3} + \cdots + \frac{k}{2^k} + \cdots \],\无限大,1,2,4,C,high_school_mathematics
"在空间 (x,y,z) 中随机选择一个点，使得 -1\le x \le 1，-1\le y \le 1，-1\le z \le 1。x^2+y^2+z^2\le 1 的概率是多少？",\frac{\pi}{24},\frac{\pi}{12},\frac{\pi}{6},\frac{\pi}{3},C,high_school_mathematics
数字 x 等于 2^{15}\cdot3^6。哪个数的立方等于 x？,288,27,125,121,A,high_school_mathematics
假设 a、b 和 c 是正整数，满足 (a+b+c)^3 - a^3 - b^3 - c^3 = 150。求 a+b+c。,16,6,12,150,B,high_school_mathematics
三位数的正整数有多少个？,899,900,1000,999,B,high_school_mathematics
Juan 掷一个八面公平骰子，上面标有数字 1 到 8。然后 Amal 掷一个六面公平骰子。两次掷出的数字的乘积是 3 的倍数的概率是多少？,\frac{1}{2},\frac{1}{4},\frac{1}{144},\frac{1}{288},A,high_school_mathematics
1960 年，美国报告了 45 万例麻疹病例。1996 年报告了 500 例。若从 1960 年到 1996 年报告的病例数呈线性下降，1987 年报告的麻疹病例数是多少？,337125,449500,27,112875,D,high_school_mathematics
当 (x\sqrt{x^3})^4 被化简后，x 的指数是多少？,5,10,2,12,B,high_school_mathematics
从标准的 52 张牌中随机选择 3 张牌。它们成对的概率是多少？（若两张牌的牌面大小相同，但第三张牌不同，则此 3 张牌算是一对。例如，668 是一对，但 999 不是。）,\frac{1}{8},\frac{1}{36},\frac{1}{78},\frac{72}{425},D,high_school_mathematics
一个正八边形有多少条对角线？,8,16,17,20,D,high_school_mathematics
学校校长必须让三位不同的教师在毕业典礼上发言——一位负责开幕致辞，一位负责唱名，一位负责结束致辞。教职工有 85 位教师。校长可以有多少种可能的演讲阵容？,"592,620","592,704","614,125","614,126",A,high_school_mathematics
求曲线 y = ln x 在 y = 1/2 和 y = 1 这两点之间的长度。,0.53,0.86,1.18,1.36,C,high_school_mathematics
求第一象限以 y = x^2、y = cos(x) 和 y 轴为界的区域的面积。,0.292,0.508,0.547,0.667,C,high_school_mathematics
$12$ 是多少个正整数、负整数的倍数？,3,12,4,6,B,high_school_mathematics
求解 \log_3 81。,4,0.25,-1,27,A,high_school_mathematics
将表达式 6j^2 - 4j + 12 重写为 c(j + p)^2 + q，其中 c、p 和 q 为常数。\frac{q}{p} 是多少？,3,-34,-38,11,B,high_school_mathematics
"对于所有实数 r 和 s，定义数学运算 \#，使得以下条件成立：r\ \#\ 0 = r, r\ \#\ s = s\ \#\ r 且 (r + 1)\ \#\ s = (r\ \#\ s) + s + 1。则 11\ \#\ 5 的值是多少？",11,12,64,71,D,high_school_mathematics
一本小说有 400 页，Veronica 想估计一下她需要多长时间才能读完。她每分钟读 250 个单词。她数了一页纸上四分之一的单词，发现每页大约有 200 个单词。约到最近的整数分钟，Veronica 看完这本书需要多长时间？,225,320,400,450,B,high_school_mathematics
一件大衣的标价是 325 美元。在 11 月，大衣卖不出去，商店老板把它的价格降低了 20%。到 12 月，她又将价格下调了 10%。12 月的圣诞购物者要花多少美元买这件大衣？,227.50 美元,234.00 美元,286.00 美元,290.00 美元,B,high_school_mathematics
John 正在玩一个游戏，他试图获得尽可能高的数字。他必须把符号 +、\乘 和 -（加、乘和减）放在下面的空白处，每个符号只使用一次：\[2 \underline{\hphantom{8}} 4 \underline{\hphantom{8}} 6 \underline{\hphantom{8}} 8.\] John 不能使用括号或重新排列数字。John 能得到的最高可能数是多少？,22,46,100,99,B,high_school_mathematics
比一个数的平方多 85 等于比这个数少 17 的数的平方。这个数是多少？,17,6,2,11,B,high_school_mathematics
Bob's Burger Barn 外的标志形状是一个正八边形。此符号的内角是多少度？,90,135,45,180,B,high_school_mathematics
行星 X、Y 和 Z 分别需要 360、450 和 540 天来围绕同一个太阳旋转。若三颗行星以太阳为终点排成一条射线，在它们再次处于完全相同的位置之前，最少的正天数是多少？,360,5400,900,1200,B,high_school_mathematics
"向量 v = (5, 0, 7) 的大小是多少？",0,3.5,4.2,8.6,D,high_school_mathematics
若我们把 sin x 变成 3 sin 2x，函数的定义域和值域会发生什么变化？,定义域和值域保持不变,定义域翻两倍；值域保持不变,定义域翻三倍；值域翻两倍,定义域不变；值域翻三倍,D,high_school_mathematics
假设 a、b、c 满足 a+b+c = 1、ab+ac+bc = abc = -4。则 a^3+b^3+c^3 是多少？,0,1,112,12,B,high_school_mathematics
化简以下表达式：(9x^9+7x^8+4x^7) + (x^{11}+x^9+2x^7+3x^3+5x+8)。将你的答案以多项式表示，其中项的次数按降序排列。,x^{11}+2x^9+2x^8,x^{11}-6x^8+6x^7+3x^3+5x+8,x^11 + 10x^9 + 7x^8+6x^73x^3+5x+8,x^{11}+10x^9+7x^8+6x^7+3x^3+5x+8,D,high_school_mathematics
饭店的标准小费是账单的 15%（税前）。许多加州人把销售税（8.25%）翻倍来算小费。这比税前 60 美元账单的标准小费多出多少美分？,90,80,70,60,A,high_school_mathematics
"集合 \{\frac{2}{5}, \frac{1}{2},5,10\} 任意两个不同元素的最大可能商是多少？具体来说，我们希望最大化 \frac{x}{y}，其中 x 和 y 是从上述集合中选择的。",5,10,20,25,D,high_school_mathematics
以抛物线 y = x^2 和直线 y = 1 和 y = 9 为界的面积是多少？,8,84/3,64\sqrt{2}/3,104/3,D,high_school_mathematics
假设 a、b、c 满足 a+b+c = 6、ab+ac+bc = 5 且 abc = -12。则 a^3+b^3+c^3 是多少？,90,99,64,91,A,high_school_mathematics
在一个圆上随机独立地选择三个点。这三个点之间的距离都小于圆半径的概率是多少？,\frac{1}{20},\frac{1}{32},\frac{1}{12},\frac{1}{16},C,high_school_mathematics
若我们把 3x^2 + x - 4 表示成 a(x - h)^2 + k，则 k 是多少？,-\frac{7}{12},-7,49,-\frac{49}{12},D,high_school_mathematics
中午，实验者有 50 克放射性同位素。9 天后的中午，只剩下 45 克。约到最近的整数天，实验开始后多少天只剩下 20 克？,54,59,60,78,D,high_school_mathematics
有三个实数 x 不在 f(x) = \frac{1}{1+\frac{1}{1+\frac 1x}} 定义域内。这三个数的和是多少？,1,0,-1.5,-1,C,high_school_mathematics
一杯 12 盎司的软饮料含有 41 克糖，是正常每日糖摄入量的 14%。正常饮食中推荐的糖大约是多少克？,5.74,69,293,574,C,high_school_mathematics
在 -36、 -29、-22、…、41、48 中有几个数字？,12,10,13,11,C,high_school_mathematics
求 100 到 200（含）之间比完全平方大 1 或 2 的质数的和。,102,298,256,300,B,high_school_mathematics
将 0.1\overline{7} 表示为简分数。,\frac{8}{45},\frac{8}{5},\frac{8}{7},\frac{8}{33},A,high_school_mathematics
一个凸六边形可以画出多少条不同的对角线？,6,8,9,36,C,high_school_mathematics
一个立方体的表面上写有六个正整数。每个顶点都用与该顶点相邻面的三个数字的乘积来标记。若顶点上的数字之和等于 1001，则写在表面的数字之和是多少？,18,13,1001,31,D,high_school_mathematics
若一个整数以数字 0 结尾，且它的数字之和能被 3 整除，则 2、3、4、5、6、8、9 这些数字中有几个能整除它？,1,2,3,4,D,high_school_mathematics
Morgan 在一个社交网站上有 60 个女性朋友和 50 个男性朋友，属于 5 个社交群体。若她 30% 的女性朋友住在城里，40% 的男性朋友住在城里，她在社交网站上有多少城外的朋友？,38,72,110,360,B,high_school_mathematics
在学术学院，要通过代数考试，你必须至少得 80 分。若考试有 35 道题，你最多可以错多少题还能及格？,7,28,35,8,A,high_school_mathematics
假设一个长 3x 英寸宽 x + 5 英寸的矩形的面积和周长相等，则 x 等于多少？,1,5,\frac{10}{3},\frac{3}{10},A,high_school_mathematics
一笔 4000 美元的投资在 t 年后以每年 320*e^(0.08t) 美元的速度增长。10 年后的价值约为,"4,902 美元","8,902 美元","7,122 美元","12,902 美元",B,high_school_mathematics
从一个 15 人的小组中可以选出多少个不同的 5 人委员会？,75,120,225,"3,003",D,high_school_mathematics
求在区间 π <= θ <= 2π 上以螺旋 r = ln θ 为界的面积。,2.405,2.931,3.743,4.81,C,high_school_mathematics
对于方程：3 x − 4(x − 2) + 6 x − 8 = 0，求 x 的值。,−4,0,2,4,B,high_school_mathematics
